Item Name,Quantity
Carbon Steel Rods,200 units
Stainless Steel Sheets,50 units
Aluminum Pipes,320 units
Copper Wires,500 units
Iron Bolts,1000 units
Hex Nuts,1200 units
Hydraulic Pumps,45 units
Ball Bearings,700 units
PVC Pipes,260 units
Rubber Gaskets,900 units
Conveyor Belts,35 units
Gear Shafts,10 units
Metal Brackets,480 units
Industrial Valves,95 units
Welding Electrodes,600 units
Steel Plates,180 units
Machine Screws,1500 units
Drill Bits,250 units
Electric Motors,40 units
Control Panels,28 units
Air Compressors,18 units
Pressure Gauges,130 units
Fastening Clips,850 units
Plastic Granules,400 units
Brass Fittings,270 units
Cooling Fans,90 units
Circuit Breakers,75 units
CNC Tool Holders,15 units
Metal Springs,520 units
Safety Helmets,140 units
Industrial Gloves,320 units
Lubricant Oil Barrels,55 units
Diesel Generators,12 units
Fiber Sheets,220 units
Carbon Fiber Tubes,60 units
Silicon Seals,310 units
Packaging Cartons,2000 units
Steel Chains,175 units
Roller Bearings,430 units
Temperature Sensors,145 units
Water Pumps,52 units
Pneumatic Cylinders,78 units
Transformer Coils,47 units
Sheet Metal Covers,290 units
Aluminum Frames,155 units
Industrial Hinges,670 units
Galvanized Pipes,210 units
Ceramic Insulators,340 units
Electric Relays,190 units
Fuel Injectors,58 units
Turbine Blades,22 units
Steel Washers,1300 units
Rivets,2400 units
Pipe Clamps,530 units
Steel Mesh Rolls,72 units
Welding Masks,95 units
Laser Cut Panels,125 units
Industrial Adhesives,160 units
Gear Assemblies,38 units
Cooling Coils,84 units
Heavy Duty Springs,215 units
Rubber Rollers,67 units
Injection Molds,29 units
Metal Casings,310 units
Aluminum Castings,205 units
Steel Flanges,145 units
Power Cables,950 units
Servo Motors,33 units
Industrial Filters,410 units
Exhaust Fans,54 units
Stainless Steel Tanks,16 units
Boiler Tubes,186 units
Wire Mesh Panels,144 units
Pipe Elbows,620 units
Copper Tubes,275 units
LED Indicators,730 units
Safety Goggles,210 units
Industrial Batteries,48 units
Motor Couplings,136 units
Steel Angles,195 units
Aluminum Channels,165 units
Metal Rollers,124 units
Brake Pads,340 units
Steel Coils,58 units
Insulation Foam Sheets,142 units
Plastic Containers,860 units
Gearboxes,26 units
Industrial Chains,115 units
Vacuum Pumps,19 units
Air Filters,370 units
Rubber Hoses,450 units
Copper Connectors,520 units
Digital Meters,62 units
Sheet Metal Frames,174 units
Thermal Sensors,132 units
Steel Beams,96 units
Cast Iron Pipes,156 units
Metal Clamps,740 units
Hydraulic Valves,82 units
Stainless Steel Screws,1750 units
Polycarbonate Sheets,118 units
Industrial Switches,285 units
Forged Steel Rings,104 units
High Pressure Hoses,93 units
